,ERC-20 Token,Ticker,Look Up Name,CoinMarketCap URL,Market Cap (2018-08-05)
171,Etherparty,FUEL,etherparty,https://coinmarketcap.com/currencies/etherparty/,"$10,801,900"
172,Datum,DAT,datum,https://coinmarketcap.com/currencies/datum/,"$10,658,400"
173,Bankex,BKX,bankex,https://coinmarketcap.com/currencies/bankex/,"$10,625,600"
174,TaaS,TAAS,taas,https://coinmarketcap.com/currencies/taas/,"$10,564,900"
175,Melon,MLN,melon,https://coinmarketcap.com/currencies/melon/,"$10,261,300"
176,Olympus Labs,MOT,olympus-labs,https://coinmarketcap.com/currencies/olympus-labs/,"$10,227,000"
177,Swarm,SWM,swarm,https://coinmarketcap.com/currencies/swarm/,"$10,173,700"
178,Quantum,QAU,quantum,https://coinmarketcap.com/currencies/quantum/,"$9,879,060"
179,MobileGo,MGO,mobilego,https://coinmarketcap.com/currencies/mobilego/,"$9,690,350"
180,FirstBlood,1ST,firstblood,https://coinmarketcap.com/currencies/firstblood/,"$9,670,330"
181,Rialto,XRL,rialto,https://coinmarketcap.com/currencies/rialto/,"$9,557,060"
182,Zeusshield,ZSC,zeusshield,https://coinmarketcap.com/currencies/zeusshield/,"$9,529,080"
183,INS Ecosystem,INS,ins-ecosystem,https://coinmarketcap.com/currencies/ins-ecosystem/,"$9,477,740"
184,DADI,DADI,dadi,https://coinmarketcap.com/currencies/dadi/,"$9,088,570"
185,VIBE,VIBE,vibe,https://coinmarketcap.com/currencies/vibe/,"$9,082,180"
186,Fortuna,FOTA,fortuna,https://coinmarketcap.com/currencies/fortuna/,"$9,057,200"
187,Ormeus Coin,ORME,ormeus-coin,https://coinmarketcap.com/currencies/ormeus-coin/,"$8,966,950"
188,ProChain,PRO,prochain,https://coinmarketcap.com/currencies/prochain/,"$8,964,500"
189,Stox,STX,stox,https://coinmarketcap.com/currencies/stox/,"$8,927,890"
190,Everex,EVX,everex,https://coinmarketcap.com/currencies/everex/,"$8,876,370"
191,Bloom,BLT,bloom,https://coinmarketcap.com/currencies/bloom/,"$8,767,350"
192,Polybius,PLBT,polybius,https://coinmarketcap.com/currencies/polybius/,"$8,745,640"
193,WaBi,WABI,wabi,https://coinmarketcap.com/currencies/wabi/,"$8,719,720"
194,Neurotoken,NTK,neurotoken,https://coinmarketcap.com/currencies/neurotoken/,"$8,557,400"
195,carVertical,CV,carvertical,https://coinmarketcap.com/currencies/carvertical/,"$8,398,980"
196,Matchpool,GUP,matchpool,https://coinmarketcap.com/currencies/matchpool/,"$8,388,140"
197,Viberate,VIB,viberate,https://coinmarketcap.com/currencies/viberate/,"$8,360,550"
198,Maecenas,ART,maecenas,https://coinmarketcap.com/currencies/maecenas/,"$8,281,100"
199,AI Doctor,AIDOC,ai-doctor,https://coinmarketcap.com/currencies/ai-doctor/,"$8,135,370"
200,COSS,COSS,coss,https://coinmarketcap.com/currencies/coss/,"$8,027,520"
